Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE_INVAL	L1D_TLB_REFILL_LD	L1D_TLB_REFILL_ST	L2D_CACHE_LD	L2D_CACHE_ST
4.000000	ferret	1	1224	35.000000	5.064000	0.729000	1529582822	18959	4346721	540351	30451227	12128400	
4.000000	ferret	1	1224	36.000000	5.056000	0.728000	1560764153	18012	4446858	546587	30943223	12545237	
2.000000	ferret	1	1224	36.000000	5.064000	0.769000	1541778377	19918	4461381	547228	30743004	12310544	
4.000000	ferret	1	1428	36.000000	5.056000	0.930000	1568271678	17177	4444395	543728	30383972	12228915	
4.000000	ferret	1	1428	37.000000	5.056000	0.889000	1568884865	22125	4409233	542961	30422119	12185918	
2.000000	ferret	1	1428	36.000000	5.056000	0.930000	1571308839	17046	4424074	541670	30540252	12333241	
4.000000	ferret	1	1479	37.000000	5.056000	0.970000	1571033343	18536	4397383	546522	30343483	12180831	
4.000000	ferret	1	1479	36.000000	5.056000	0.970000	1577685671	20064	4368619	540112	30402439	12335998	
4.000000	ferret	1	1479	36.000000	5.048000	1.049000	1582793607	22437	4357212	539219	30371146	12291801	
16.000000	fluidanimate	1	102	35.000000	5.072000	0.243000	1504621582	66038	4720632	587686	37559142	13938772	
14.000000	fluidanimate	1	102	35.000000	5.072000	0.243000	1496244602	71466	4652914	584811	37511235	13689822	
30.000000	fluidanimate	1	102	35.000000	5.064000	0.243000	1493539042	69852	4676260	581213	37378622	13699173	
8.000000	fluidanimate	1	204	35.000000	5.064000	0.364000	1460884825	42297	4539014	568924	34755596	13342346	
12.000000	fluidanimate	1	204	35.000000	5.064000	0.364000	1442596587	37775	4495512	562642	33821230	12872014	
12.000000	fluidanimate	1	204	35.000000	5.064000	0.364000	1455946392	40467	4498634	563089	34292038	12990700	
6.000000	fluidanimate	1	307	35.000000	5.056000	0.444000	1468137688	31003	4475648	561823	33113653	12967154	
6.000000	fluidanimate	1	307	35.000000	5.064000	0.405000	1445132187	32379	4456848	560240	33081155	12851890	
6.000000	fluidanimate	1	307	35.000000	5.056000	0.444000	1450086019	29831	4465420	556481	33058067	12909891	
4.000000	fluidanimate	1	403	35.000000	5.056000	0.525000	1464441033	27636	4466060	562645	32319638	12712893	
4.000000	fluidanimate	1	403	35.000000	5.056000	0.485000	1449793357	26315	4393115	555618	32221917	12653954	
4.000000	fluidanimate	1	403	35.000000	5.056000	0.485000	1477639862	28279	4517782	558277	32483018	12814565	
4.000000	fluidanimate	1	518	35.000000	5.048000	0.565000	1469181170	23436	4480489	554557	32069471	12849375	
6.000000	fluidanimate	1	518	36.000000	5.056000	0.606000	1461700044	24153	4410740	550754	31455097	12529208	
4.000000	fluidanimate	1	518	36.000000	5.048000	0.566000	1470105695	24233	4465440	559756	31729819	12548079	
4.000000	fluidanimate	1	614	36.000000	5.048000	0.646000	1472571956	21927	4354449	548910	31326630	12480114	
4.000000	fluidanimate	1	614	36.000000	5.048000	0.646000	1470426402	23922	4417629	549782	31228884	12433817	
4.000000	fluidanimate	1	614	36.000000	5.048000	0.646000	1472192964	22981	4432550	552553	31311959	12488300	
2.000000	fluidanimate	1	710	36.000000	5.048000	0.726000	1493174640	19833	4414280	550920	30909362	12299251	
2.000000	fluidanimate	1	710	36.000000	5.048000	0.686000	1493738929	19658	4440920	552626	31241200	12517390	
4.000000	fluidanimate	1	710	36.000000	5.048000	0.726000	1508924941	19997	4420929	551320	31298615	12488557	
4.000000	fluidanimate	1	921	36.000000	5.048000	0.848000	1509564560	19037	4400268	547296	30477726	12225686	
4.000000	fluidanimate	1	921	36.000000	5.040000	0.846000	1518968416	22437	4336151	548168	30931258	12429015	
2.000000	fluidanimate	1	921	36.000000	5.040000	0.846000	1524395038	23183	4381461	550883	30819957	12341000	
4.000000	fluidanimate	1	1036	36.000000	5.032000	0.967000	1552237843	18057	4384199	547613	30777702	12432826	
2.000000	fluidanimate	1	1036	36.000000	5.040000	0.927000	1538659544	18714	4420162	550161	30533109	12295033	
4.000000	fluidanimate	1	1036	37.000000	5.040000	0.927000	1526689090	25220	4319657	548269	30654250	12277181	
2.000000	fluidanimate	1	1132	37.000000	5.040000	0.927000	1549001523	18012	4370930	549341	30649204	12328982	
4.000000	fluidanimate	1	1132	36.000000	5.040000	0.887000	1547216384	19205	4407205	550837	30783833	12545793	
2.000000	fluidanimate	1	1132	36.000000	5.040000	0.927000	1545824825	18335	4387118	545760	30784357	12392374	
2.000000	fluidanimate	1	1224	37.000000	5.032000	1.127000	1554390105	18786	4407941	551182	30619628	12433602	
4.000000	fluidanimate	1	1224	36.000000	5.032000	1.127000	1548618268	24197	4430497	553307	30405549	12240063	
4.000000	fluidanimate	1	1224	36.000000	5.032000	1.086000	1551172233	16563	4421231	552490	30542182	12340002	
4.000000	fluidanimate	1	1428	36.000000	5.024000	1.446000	1580572738	18955	4381362	546961	30255562	12241163	
2.000000	fluidanimate	1	1428	37.000000	5.024000	1.446000	1596215923	17968	4403304	552811	30487741	12328403	
4.000000	fluidanimate	1	1428	37.000000	5.032000	1.288000	1574262568	17816	4395214	549899	30014499	12131514	
4.000000	fluidanimate	1	1479	37.000000	5.024000	1.406000	1577602357	14256	4298556	541683	29931717	12083312	
2.000000	fluidanimate	1	1479	37.000000	5.024000	1.446000	1596221061	16344	4376551	552807	30397504	12307874	
2.000000	fluidanimate	1	1479	37.000000	5.016000	1.487000	1593949301	22296	4378392	545787	30394372	12440915	
14.000000	freqmine	1	102	35.000000	5.064000	0.243000	1465010085	57204	4578763	566195	36844970	13711668	
16.000000	freqmine	1	102	35.000000	5.072000	0.243000	1470724060	67357	4680593	575790	37256076	13562622	
26.000000	freqmine	1	102	35.000000	5.064000	0.243000	1489833328	68953	4711310	576536	37782062	13712909	
18.000000	freqmine	1	204	36.000000	5.064000	0.404000	1442532397	40140	4516978	559974	34125937	12937749	
10.000000	freqmine	1	204	35.000000	5.064000	0.364000	1435580147	37247	4487060	558331	33944405	12955602	
10.000000	freqmine	1	204	35.000000	5.064000	0.324000	1430916266	39034	4532603	557365	33917712	12989239	
6.000000	freqmine	1	307	35.000000	5.056000	0.444000	1429394227	28554	4464495	550983	32681793	12667873	
6.000000	freqmine	1	307	36.000000	5.056000	0.444000	1432704008	30073	4444682	554448	32725099	12673215	
4.000000	freqmine	1	307	35.000000	5.056000	0.444000	1442323330	32461	4566344	559983	33061422	12867198	
4.000000	freqmine	1	403	35.000000	5.056000	0.485000	1425945930	27630	4417390	548164	31627877	12353963	
6.000000	freqmine	1	403	36.000000	5.056000	0.485000	1433867099	26238	4381266	545099	32120533	12541725	
6.000000	freqmine	1	403	36.000000	5.056000	0.485000	1441101390	27116	4410913	552017	32150179	12484800	
4.000000	freqmine	1	518	36.000000	5.048000	0.566000	1434436419	23781	4416016	546228	31601235	12451263	
4.000000	freqmine	1	518	35.000000	5.056000	0.566000	1468249870	22898	4477811	553805	31940501	12755463	
4.000000	freqmine	1	518	36.000000	5.056000	0.566000	1443129923	22135	4409730	545617	31543852	12361103	
2.000000	freqmine	1	614	36.000000	5.048000	0.606000	1457461050	23721	4409673	546575	31302901	12405707	
4.000000	freqmine	1	614	36.000000	5.048000	0.646000	1460121954	21591	4459163	548261	31190799	12351095	
2.000000	freqmine	1	614	36.000000	5.048000	0.646000	1459513190	20958	4357282	544444	31343072	12503488	
4.000000	freqmine	1	710	36.000000	5.048000	0.726000	1463655982	18530	4425490	546211	30804886	12297041	
2.000000	freqmine	1	710	36.000000	5.048000	0.686000	1486602082	20326	4442323	555465	31073675	12308927	
4.000000	freqmine	1	710	36.000000	5.048000	0.686000	1463448007	19097	4369039	543354	31071956	12354208	
4.000000	freqmine	1	921	36.000000	5.048000	0.806000	1493392262	20363	4439014	547265	30599849	12258573	
4.000000	freqmine	1	921	36.000000	5.040000	0.846000	1503606329	18825	4437347	547028	31035645	12501874	
4.000000	freqmine	1	921	36.000000	5.048000	0.846000	1503217340	19441	4467736	549271	30839100	12238260	
4.000000	freqmine	1	1036	36.000000	5.040000	0.887000	1525027888	16307	4399269	544520	30381806	12227563	
4.000000	freqmine	1	1036	36.000000	5.040000	0.887000	1528524826	17685	4432524	542546	30741448	12380693	
4.000000	freqmine	1	1036	36.000000	5.040000	0.887000	1513081154	18117	4352513	543144	30505037	12248431	
4.000000	freqmine	1	1132	36.000000	5.040000	0.927000	1517165753	18115	4420951	544080	30478171	12174607	
4.000000	freqmine	1	1132	36.000000	5.040000	0.927000	1526659870	17593	4417338	544576	30643114	12297451	
2.000000	freqmine	1	1132	36.000000	5.040000	0.927000	1514954385	15922	4377586	538212	30519884	12258889	
2.000000	freqmine	1	1224	36.000000	5.040000	1.008000	1542112619	17798	4417762	542987	30627448	12339632	
2.000000	freqmine	1	1224	37.000000	5.032000	1.167000	1536051491	19525	4399615	542518	30405305	12229006	
4.000000	freqmine	1	1224	36.000000	5.032000	1.046000	1530446296	15389	4337186	538644	30151293	12097300	
4.000000	freqmine	1	1428	37.000000	5.024000	1.406000	1557426700	18916	4388299	546625	30250983	12284580	
2.000000	freqmine	1	1428	36.000000	5.032000	1.247000	1556807645	16656	4359701	538667	30084246	12133829	
2.000000	freqmine	1	1428	37.000000	5.024000	1.487000	1567738566	16996	4423027	545642	30208682	12143713	
4.000000	freqmine	1	1479	37.000000	5.024000	1.527000	1557936592	15598	4350269	537757	29960890	12175876	
2.000000	freqmine	1	1479	37.000000	5.024000	1.446000	1576822403	15343	4405520	542055	30343126	12205149	
4.000000	freqmine	1	1479	37.000000	5.024000	1.527000	1565335539	17863	4396864	546004	30101747	12199003	
18.000000	streamcluster	1	102	35.000000	5.072000	0.243000	1434637613	61992	4566657	567241	36100312	13127062	
12.000000	streamcluster	1	102	35.000000	5.072000	0.243000	1443045096	64779	4600677	567790	36982848	13343070	
18.000000	streamcluster	1	102	35.000000	5.072000	0.283000	1444257564	68412	4600504	570162	36777894	13242152	
16.000000	streamcluster	1	204	35.000000	5.056000	0.364000	1395998220	42161	4473638	549581	33212040	12435376	
8.000000	streamcluster	1	204	35.000000	5.056000	0.364000	1394912903	39348	4475767	548939	33071801	12526556	
6.000000	streamcluster	1	204	35.000000	5.056000	0.404000	1397642834	41825	4450253	550697	33322351	12489759	
4.000000	streamcluster	1	307	36.000000	5.056000	0.444000	1387672112	33039	4427118	544807	31938688	12235339	
6.000000	streamcluster	1	307	35.000000	5.056000	0.444000	1391883653	34634	4405778	546252	32232391	12404542	
4.000000	streamcluster	1	307	35.000000	5.056000	0.444000	1387808423	35884	4395413	542059	32146789	12497042	
4.000000	streamcluster	1	403	35.000000	5.056000	0.525000	1410153545	24808	4395884	537846	31488462	12318903	
