Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB
4.000000	fluidanimate	1	614	37.000000	5.048000	0.646000	1481630162	8563043	236617524	462550478	582959350	4141212	
3.000000	fluidanimate	1	710	37.000000	5.048000	0.726000	1485968509	8531638	235090827	459986342	580161491	4085967	
4.000000	fluidanimate	1	710	37.000000	5.048000	0.686000	1495007912	8451300	236942814	462570002	581873075	4091339	
5.000000	fluidanimate	1	710	37.000000	5.048000	0.726000	1482487365	8412811	234130323	457765923	577877335	4132557	
3.000000	fluidanimate	1	921	37.000000	5.032000	0.845000	1514386323	8373365	234142195	457949549	576749680	4049280	
3.000000	fluidanimate	1	921	36.000000	5.048000	0.807000	1513246900	8392543	233846702	457473502	576301914	4040060	
2.000000	fluidanimate	1	921	37.000000	5.032000	0.845000	1511118110	8415026	233411493	456360391	576198674	4205984	
2.000000	fluidanimate	1	1036	37.000000	5.040000	0.887000	1530386702	8378012	233398465	456695587	575447066	4043291	
3.000000	fluidanimate	1	1036	37.000000	5.040000	0.966000	1532067171	8385998	233886364	457622111	576938668	4090028	
3.000000	fluidanimate	1	1036	37.000000	5.040000	0.887000	1538574894	8349407	234882027	458861062	578724201	4067658	
3.000000	fluidanimate	1	1132	37.000000	5.040000	0.967000	1546930111	8380803	235934529	460670168	582191724	4200648	
3.000000	fluidanimate	1	1132	37.000000	5.024000	1.004000	1546540076	8498383	235510504	460262434	582234276	4145339	
3.000000	fluidanimate	1	1132	37.000000	5.040000	0.927000	1537789423	8378971	234706416	458492093	577579188	4111756	
2.000000	fluidanimate	1	1224	37.000000	5.032000	1.048000	1541425495	8327205	232066986	454381703	573593713	4057197	
3.000000	fluidanimate	1	1224	38.000000	5.032000	1.127000	1564276714	8337438	236145821	461069007	580855187	4136011	
3.000000	fluidanimate	1	1224	37.000000	5.040000	1.048000	1556555729	8315732	235042827	459205639	577184112	4072336	
2.000000	fluidanimate	1	1428	38.000000	5.024000	1.564000	1579299682	8297791	233896946	457313317	575258646	4068527	
3.000000	fluidanimate	1	1428	38.000000	5.016000	1.446000	1578840182	8269319	234144958	457743358	576317453	4042824	
