Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	ISB_SPEC	DSB_SPEC	DMB_SPEC	EXC_UNDEF	EXC_SVC
3.000000	fluidanimate	1	1224	33.000000	5.040000	1.088000	1559139169	1841028	160345	3350762	0	35663	
3.000000	fluidanimate	1	1224	34.000000	5.040000	1.088000	1569752049	1847764	162921	3387838	0	35663	
2.000000	fluidanimate	1	1224	34.000000	5.032000	1.086000	1559235023	1847506	159481	3381681	0	35666	
3.000000	fluidanimate	1	1428	35.000000	5.024000	1.487000	1579206266	1839769	160140	3290901	0	35669	
3.000000	fluidanimate	1	1428	35.000000	5.024000	1.406000	1587431454	1842751	160199	3381772	0	35657	
3.000000	fluidanimate	1	1428	34.000000	5.024000	1.527000	1590893700	1844964	160444	3433032	0	35669	
3.000000	fluidanimate	1	1479	36.000000	5.032000	1.368000	1596277105	1843455	160799	3379302	0	35663	
3.000000	fluidanimate	1	1479	35.000000	5.024000	1.527000	1590114255	1841072	160307	3328262	0	35669	
3.000000	fluidanimate	1	1479	35.000000	5.024000	1.567000	1618481359	1854430	161536	3578043	0	35669	
13.000000	freqmine	1	102	33.000000	5.072000	0.243000	1463391322	1880742	167765	3436895	0	35595	
18.000000	freqmine	1	102	33.000000	5.072000	0.243000	1469804610	1882181	168945	3440098	0	35595	
15.000000	freqmine	1	102	33.000000	5.072000	0.243000	1483127259	1885636	170377	3540400	0	35593	
8.000000	freqmine	1	204	33.000000	5.064000	0.324000	1437683115	1857884	164484	3421482	0	35595	
8.000000	freqmine	1	204	33.000000	5.064000	0.324000	1423138193	1855739	164086	3283110	0	35593	
10.000000	freqmine	1	204	32.000000	5.064000	0.364000	1424393700	1853150	161914	3287305	0	35597	
5.000000	freqmine	1	307	33.000000	5.064000	0.405000	1443714604	1853338	163981	3530068	0	35595	
5.000000	freqmine	1	307	33.000000	5.064000	0.404000	1426096979	1846643	161759	3328216	0	35595	
5.000000	freqmine	1	307	33.000000	5.056000	0.404000	1430567618	1850848	161861	3369070	0	35595	
5.000000	freqmine	1	403	33.000000	5.056000	0.486000	1424686702	1842620	161188	3287158	0	35595	
5.000000	freqmine	1	403	33.000000	5.056000	0.485000	1437438332	1845026	160352	3404406	0	35595	
4.000000	freqmine	1	403	33.000000	5.056000	0.485000	1437145470	1844547	160997	3365116	0	35595	
4.000000	freqmine	1	518	33.000000	5.056000	0.566000	1442677748	1842425	161696	3327507	0	35595	
3.000000	freqmine	1	518	33.000000	5.056000	0.566000	1440399520	1841750	161369	3340967	0	35595	
4.000000	freqmine	1	518	33.000000	5.056000	0.566000	1447081177	1846264	161603	3379858	0	35593	
3.000000	freqmine	1	614	33.000000	5.048000	0.646000	1455719993	1840133	161312	3346216	0	35595	
4.000000	freqmine	1	614	33.000000	5.056000	0.606000	1450390775	1839977	160761	3300067	0	35595	
3.000000	freqmine	1	614	33.000000	5.056000	0.606000	1465139384	1844166	162191	3418939	0	35595	
6.000000	freqmine	1	710	33.000000	5.048000	0.686000	1469023340	1841525	161153	3376040	0	35595	
3.000000	freqmine	1	710	33.000000	5.048000	0.686000	1464280463	1838902	160161	3328116	0	35595	
4.000000	freqmine	1	710	33.000000	5.048000	0.686000	1465296439	1839365	160122	3334885	0	35595	
3.000000	freqmine	1	921	33.000000	5.048000	0.848000	1489257116	1838559	160296	3316701	0	35595	
3.000000	freqmine	1	921	33.000000	5.048000	0.767000	1516765226	1843461	160726	3555240	0	35595	
3.000000	freqmine	1	921	33.000000	5.048000	0.807000	1486662416	1838333	159106	3221488	0	35595	
3.000000	freqmine	1	1036	33.000000	5.040000	0.967000	1521266077	1840646	160894	3447160	0	35595	
2.000000	freqmine	1	1036	33.000000	5.040000	0.887000	1514746956	1842230	158740	3360251	0	35595	
3.000000	freqmine	1	1036	33.000000	5.040000	0.888000	1505650651	1835541	159542	3277129	0	35595	
3.000000	freqmine	1	1132	33.000000	5.040000	0.927000	1517854472	1839292	161772	3315970	0	35595	
2.000000	freqmine	1	1132	33.000000	5.040000	0.887000	1525515381	1843224	159843	3411460	0	35595	
3.000000	freqmine	1	1132	33.000000	5.048000	0.888000	1519530291	1839056	161629	3346717	0	35601	
3.000000	freqmine	1	1224	34.000000	5.040000	1.088000	1521933153	1834398	160623	3223299	0	35595	
2.000000	freqmine	1	1224	33.000000	5.040000	1.008000	1535311640	1836490	158498	3365335	0	35593	
3.000000	freqmine	1	1224	34.000000	5.040000	1.088000	1530001814	1841606	160693	3332374	0	35595	
2.000000	freqmine	1	1428	34.000000	5.024000	1.446000	1556148299	1837313	159451	3333017	0	35595	
3.000000	freqmine	1	1428	34.000000	5.040000	1.249000	1554659682	1834889	159592	3311398	0	35595	
3.000000	freqmine	1	1428	34.000000	5.032000	1.328000	1569752560	1845185	161499	3435875	0	35595	
3.000000	freqmine	1	1479	35.000000	5.032000	1.449000	1561576411	1833837	158710	3281197	0	35592	
3.000000	freqmine	1	1479	34.000000	5.032000	1.529000	1567324632	1835591	160372	3333619	0	35595	
3.000000	freqmine	1	1479	34.000000	5.032000	1.489000	1564383923	1836076	160420	3315079	0	35595	
19.000000	streamcluster	1	102	33.000000	5.072000	0.243000	1435738636	1860065	167380	3490928	0	35067	
17.000000	streamcluster	1	102	33.000000	5.072000	0.243000	1436387499	1858477	166543	3443499	0	35064	
13.000000	streamcluster	1	102	32.000000	5.072000	0.243000	1444583520	1860845	170131	3480268	0	35064	
8.000000	streamcluster	1	204	33.000000	5.064000	0.364000	1403286506	1834928	163178	3391722	0	35064	
8.000000	streamcluster	1	204	33.000000	5.056000	0.404000	1398250968	1836036	161978	3375717	0	35064	
11.000000	streamcluster	1	204	33.000000	5.064000	0.364000	1395294427	1834833	163794	3310038	0	35067	
5.000000	streamcluster	1	307	33.000000	5.056000	0.444000	1388347906	1825116	161234	3268894	0	35070	
5.000000	streamcluster	1	307	33.000000	5.056000	0.444000	1409840842	1830315	161670	3494590	0	35070	
6.000000	streamcluster	1	307	33.000000	5.056000	0.444000	1399004621	1829255	161759	3366158	0	35070	
4.000000	streamcluster	1	403	33.000000	5.056000	0.485000	1393022974	1822348	159394	3304281	0	35070	
6.000000	streamcluster	1	403	33.000000	5.056000	0.525000	1412364220	1826840	159980	3469347	0	35070	
5.000000	streamcluster	1	403	33.000000	5.056000	0.525000	1402027572	1824839	160530	3361188	0	35070	
3.000000	streamcluster	1	518	33.000000	5.056000	0.606000	1404042228	1818309	159518	3265902	0	35064	
4.000000	streamcluster	1	518	33.000000	5.056000	0.566000	1421422601	1825043	159691	3494418	0	35070	
4.000000	streamcluster	1	518	33.000000	5.056000	0.566000	1419291619	1823619	160559	3391062	0	35070	
3.000000	streamcluster	1	614	33.000000	5.056000	0.647000	1423782013	1819721	159351	3347320	0	35070	
4.000000	streamcluster	1	614	33.000000	5.048000	0.646000	1419605178	1818663	160363	3318902	0	35064	
4.000000	streamcluster	1	614	33.000000	5.056000	0.647000	1423686192	1819487	160813	3322277	0	35070	
3.000000	streamcluster	1	710	33.000000	5.048000	0.726000	1424167889	1816615	160955	3212249	0	35067	
3.000000	streamcluster	1	710	33.000000	5.048000	0.726000	1496918043	1829425	161031	3546052	0	35070	
3.000000	streamcluster	1	710	33.000000	5.048000	0.767000	1437455826	1820546	159593	3395015	0	35070	
3.000000	streamcluster	1	921	33.000000	5.048000	0.848000	1460539092	1817505	159911	3334139	0	35070	
3.000000	streamcluster	1	921	33.000000	5.048000	0.807000	1450411906	1813500	159663	3211443	0	35064	
